Country (length),length,Country (dw),dw,Country (de),de,Country (de_min_max),de_min_max,Country (di),di,Country (di_min_max),di_min_max
Russia,0.430031682160957,Russia,0.43003168216095705,Russia,0.43918726911054284,Russia,0.430031682160957,Russia,0.3294970161977835,Russia,0.43003168216095694
China,0.3633263922360507,China,0.3633263922360509,Poland,0.33177008869408103,China,0.36332639223605073,Hungary,0.30402475118363304,China,0.3633263922360508
Ukraine,0.2424166473245797,Ukraine,0.24241664732457965,Latvia,0.3313441318556408,Ukraine,0.24241664732457965,Iran,0.2935315430520034,Ukraine,0.2424166473245797
Iraq,0.2086530264279625,Iraq,0.2086530264279625,Kazakhstan,0.32340121077964323,Iraq,0.2086530264279625,Romania,0.28815976933192117,Iraq,0.2086530264279625
Turkey,0.205781577641558,Turkey,0.20578157764155788,Lithuania,0.3209718670076726,Turkey,0.20578157764155797,China,0.2813743250923558,Turkey,0.20578157764155794
Germany,0.17890180795250746,Germany,0.17890180795250749,Iran,0.31525291275930667,Germany,0.1789018079525074,Bulgaria,0.27822179596476276,Germany,0.17890180795250749
Poland,0.16863127697209948,Poland,0.1686312769720995,Germany,0.24527735739746628,Poland,0.16863127697209945,Ukraine,0.2614116947541142,Poland,0.16863127697209948
Iran,0.1402613087395696,Iran,0.1402613087395696,China,0.24190133939511382,Iran,0.1402613087395696,Turkey,0.22405157715260016,Iran,0.14026130873956957
Hungary,0.1393057845455247,Hungary,0.13930578454552467,Iraq,0.21412333049161691,Hungary,0.13930578454552464,Iraq,0.20801364023870417,Hungary,0.1393057845455247
Thailand,0.11135976129582267,Thailand,0.11135976129582267,Slovakia,0.19206652975470714,Thailand,0.11135976129582267,Austria,0.19634303340926035,Thailand,0.11135976129582267
Bulgaria,0.10596872324818449,Bulgaria,0.1059687232481845,India,0.17703818883065756,Bulgaria,0.10596872324818449,Germany,0.19550575845220702,Bulgaria,0.10596872324818446
Austria,0.09490075928506803,Austria,0.09490075928506801,Turkmenistan,0.1690533970193917,Austria,0.09490075928506803,India,0.18993025954343076,Austria,0.09490075928506801
Belarus,0.0898197523706261,Belarus,0.08981975237062609,Laos,0.15688050582551863,Belarus,0.08981975237062606,Kazakhstan,0.17794574351479725,Belarus,0.08981975237062607
Georgia,0.08660484560940249,Georgia,0.08660484560940249,Pakistan,0.14498792441735636,Georgia,0.08660484560940247,Myanmar,0.17496447854504113,Georgia,0.08660484560940247
Serbia,0.08617559264338978,Serbia,0.08617559264338974,Hungary,0.13197468965237277,Serbia,0.08617559264338975,Pakistan,0.17468758034614817,Serbia,0.08617559264338977
Malaysia,0.08567774936061381,Malaysia,0.08567774936061381,Bulgaria,0.12877085616855435,Malaysia,0.08567774936061381,Saudi Arabia,0.14879937482239275,Malaysia,0.08567774936061381
Saudi Arabia,0.08525149190110827,Saudi Arabia,0.08525149190110827,Czech Republic,0.11808571684998245,Saudi Arabia,0.08525149190110827,Slovakia,0.12756730533882013,Saudi Arabia,0.08525149190110827
Myanmar,0.08099077795369354,Myanmar,0.08099077795369355,Thailand,0.11082693947144075,Myanmar,0.08099077795369354,Thailand,0.11082693947144075,Myanmar,0.08099077795369353
Laos,0.0734769753311953,Laos,0.0734769753311953,Turkey,0.1053921568627451,Laos,0.0734769753311953,Malaysia,0.08567774936061381,Laos,0.07347697533119528
Romania,0.07147897367743282,Romania,0.07147897367743283,Myanmar,0.10466041489059394,Romania,0.0714789736774328,Armenia,0.08120204603580561,Romania,0.0714789736774328
Pakistan,0.06229721410818146,Pakistan,0.06229721410818146,Serbia,0.08814699792960662,Pakistan,0.06229721410818146,Poland,0.08014544308925564,Pakistan,0.06229721410818144
France,0.05918686315105752,France,0.05918686315105752,Malaysia,0.08567774936061381,France,0.059186863151057534,Czech Republic,0.0676429949828119,France,0.05918686315105752
Jordan,0.05711849957374254,Jordan,0.05711849957374254,Saudi Arabia,0.0850383631713555,Jordan,0.05711849957374254,Kuwait,0.05985365160556977,Jordan,0.05711849957374254
Afghanistan,0.047133520172109006,Afghanistan,0.047133520172109006,France,0.08468314862176754,Afghanistan,0.047133520172109006,France,0.05946291560102303,Afghanistan,0.04713352017210901
Kazakhstan,0.035163205036832235,Kazakhstan,0.035163205036832235,Romania,0.07221268875745028,Kazakhstan,0.03516320503683224,Jordan,0.05711849957374254,Kazakhstan,0.03516320503683224
India,0.03239988793057847,India,0.032399887930578464,Jordan,0.05711849957374254,India,0.03239988793057847,Kyrgyzstan,0.05536061042774597,India,0.03239988793057846
Greece,0.0295580145240261,Greece,0.029558014524026094,Kuwait,0.05441886899687411,Greece,0.0295580145240261,Mongolia,0.05445439045183291,Greece,0.0295580145240261
Israel,0.028985507246376812,Israel,0.028985507246376812,Belgium,0.05414180164819551,Israel,0.028985507246376812,Lithuania,0.053805159790711904,Israel,0.028985507246376812
Spain,0.028985507246376812,Spain,0.028985507246376812,Finland,0.048344700198920114,Spain,0.028985507246376812,Latvia,0.05242343381314531,Spain,0.028985507246376812
Slovakia,0.028373505517131824,Slovakia,0.028373505517131834,Kyrgyzstan,0.02905737673034752,Slovakia,0.02837350551713183,Belarus,0.05132688878129046,Slovakia,0.028373505517131848
Turkmenistan,0.021677400086832915,Turkmenistan,0.021677400086832922,Spain,0.028985507246376812,Turkmenistan,0.021677400086832922,Macedonia,0.044117647058823525,Turkmenistan,0.021677400086832922
Croatia,0.016360995198994928,Croatia,0.01636099519899493,Israel,0.028985507246376812,Croatia,0.01636099519899493,Serbia,0.04314080704745666,Croatia,0.016360995198994928
Norway,0.014279624893435636,Norway,0.014279624893435636,Macedonia,0.02770977956399951,Norway,0.014279624893435636,Turkmenistan,0.030836597924193826,Norway,0.014279624893435636
Finland,0.014279624893435636,Finland,0.014279624893435636,Ukraine,0.026445305317352855,Finland,0.014279624893435636,Norway,0.03015771526001705,Finland,0.014279624893435636
Vietnam,0.012681159420289856,Vietnam,0.012681159420289856,Croatia,0.024980716924450936,Vietnam,0.012681159420289856,Spain,0.028985507246376812,Vietnam,0.012681159420289856
Latvia,0.011524281718789728,Latvia,0.011524281718789728,Uzbekistan,0.0220531578676181,Latvia,0.011524281718789728,Israel,0.028985507246376812,Latvia,0.011524281718789728
Switzerland,0.00840968953651367,Switzerland,0.008409689536513667,Afghanistan,0.017902813299232736,Switzerland,0.008409689536513668,Laos,0.025635834043762434,Switzerland,0.008409689536513668
Italy,0.007726662702591694,Italy,0.007726662702591692,Vietnam,0.017369991474850806,Italy,0.007726662702591694,Tajikistan,0.020571743190029634,Italy,0.007726662702591694
Montenegro,0.006276480844053869,Montenegro,0.006276480844053869,Tajikistan,0.0147325682996702,Montenegro,0.006276480844053868,Qatar,0.018790849673202617,Montenegro,0.006276480844053869
Macedonia,0.005707015834556552,Macedonia,0.0057070158345565525,Austria,0.013907093634555261,Macedonia,0.005707015834556554,Belgium,0.017334470019892013,Macedonia,0.005707015834556553
Albania,0.00476900905289652,Albania,0.004769009052896521,Armenia,0.0123614663256607,Albania,0.004769009052896521,Croatia,0.013213981244671782,Albania,0.00476900905289652
