Country,Region,Income category,Year MOU sign,MOU link,Comment
Luxembourg,Europe & Central Asia,High income,2019,https://www.oboreurope.com/en/luxembourg-member-bri/,
Madagascar,Sub-Saharan Africa,Low income,2017,https://news.cgtn.com/news/3d67444d79497a4d/share_p.html,
Malaysia,East Asia & Pacific,Upper middle income,2017,,
Maldives,South Asia,Upper middle income,2017,http://www.xinhuanet.com/english/2017-12/07/c_136809164.htm,
Mali,Sub-Saharan Africa,Low income,2019,,
Malta,Middle East & North Africa,High income,2018,https://www.timesofmalta.com/articles/view/20181106/local/malta-china-sign-mou-within-one-belt-one-road-initiative.693602,
Mauritania,Sub-Saharan Africa,Lower middle income,2018,https://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1590951.shtml,
Micronesia,East Asia & Pacific,Lower middle income,2018,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1667107.shtml,
Moldova,Europe & Central Asia,Lower middle income,2013,,
Mongolia,East Asia & Pacific,Lower middle income,2013,,
Montenegro,Europe & Central Asia,Upper middle income,2017,,
Morocco,Middle East & North Africa,Lower middle income,2017,http://www.xinhuanet.com/english/2017-11/17/c_136760746.htm,
Mozambique,Sub-Saharan Africa,Low income,2018,,
Myanmar,East Asia & Pacific,Lower middle income,2017,https://global.chinadaily.com.cn/a/202001/14/WS5e1cf966a310128217270a0b.html,"Cannot confirm 2016, https://bulletin.ids.ac.uk/index.php/idsbo/article/view/3063/3041 offers 2017"
Namibia,Sub-Saharan Africa,Upper middle income,2018,,
Nepal,South Asia,Low income,2017,http://www.xinhuanet.com/english/2017-05/12/c_136276949.htm,
New Zealand,East Asia & Pacific,High income,2017,https://www.mfat.govt.nz/assets/FTAs-agreements-in-force/China-FTA/NRA-NZ-China-Cooperation-on-Belt-and-Road-Initiative.pdf,
Niger,Sub-Saharan Africa,Low income,NULL,,
Nigeria,Sub-Saharan Africa,Lower middle income,2018,,
Niue,East Asia & Pacific,,2018,http://www.chinaembassy.org.nz/eng/zgynagx/t1582729.htm,
North Macedonia,Europe & Central Asia,Upper middle income,2013,,
Oman,Middle East & North Africa,High income,2018,,
Pakistan,South Asia,Lower middle income,2018,https://eng.yidaiyilu.gov.cn/zchj/sbwj/70841.htm,
Panama,Latin America & Caribbean,High income,2017,https://schillerinstitute.com/blog/2017/11/29/china-panama-belt-road-initiative-changing-world/,
Papua New Guinea,East Asia & Pacific,Lower middle income,2018,http://www.xinhuanet.com/english/2018-11/19/c_137617032.htm; http://www.bjreview.com/World/201811/t20181115_800148175.html,Map said 2016?
Peru,Latin America & Caribbean,Upper middle income,2019,https://www.reuters.com/article/us-china-silkroad-peru/peru-to-sign-mou-to-join-chinas-belt-and-road-club-in-coming-days-chinese-ambassador-idUSKCN1S104R,
Philippines,East Asia & Pacific,Lower middle income,2017,,Difficult to confirm
Poland,Europe & Central Asia,High income,2015,,
Portugal,Europe & Central Asia,High income,2018,,
Qatar,Middle East & North Africa,High income,2018,,
Romania,Europe & Central Asia,Upper middle income,2015,,
Russian Federation,Europe & Central Asia,Upper middle income,NULL,,
Rwanda,Sub-Saharan Africa,Low income,2018,,
Samoa,East Asia & Pacific,Upper middle income,2018,https://www.samoaobserver.ws/category/editorial/19586,
Saudi Arabia,Middle East & North Africa,High income,2015,http://www.chinagoabroad.com/en/article/china-and-saudi-arabia-join-hands-to-support-the-one-belt-one-road-initiative,http://www.chinaarabcf.org/chn/lthyjwx/bzjhywj/dbjbzjhy/P020180726404036530409.pdf
Senegal,Sub-Saharan Africa,Low income,2018,http://www.globaltimes.cn/content/1111845.shtml,
Serbia,Europe & Central Asia,Upper middle income,2015,,
Seychelles,Sub-Saharan Africa,High income,2018,http://www.seychellesnewsagency.com/articles/9678/Seychelles+and+China+sign+agreements+as+president+of+island+nation+continues+visit,
Sierra Leone,Sub-Saharan Africa,Low income,2018,,
Singapore,East Asia & Pacific,High income,2018,https://www.channelnewsasia.com/news/singapore/singapore-china-sign-mou-collaboration-belt-and-road-initiative-10117042,
Slovak Republic,Europe & Central Asia,High income,2015,,
Slovenia,Europe & Central Asia,High income,2017,,
Solomon Islands,East Asia & Pacific,Lower middle income,2019,https://www.silkroadbriefing.com/news/2019/10/11/solomon-islands-recognizes-china-joins-belt-road-initiative/,
Somalia,Sub-Saharan Africa,Low income,2018,https://www.caasimada.net/somalia-china-sign-new-agreement-in-beijing/,under arab league: http://www.chinaarabcf.org/chn/lthyjwx/bzjhywj/dbjbzjhy/P020180726404036530409.pdf
South Africa,Sub-Saharan Africa,Upper middle income,2015,https://www.bilaterals.org/?south-africa-government-signs ; http://www.xinhuanet.com/english/2017-03/27/c_136162256.htm,
South Sudan,Sub-Saharan Africa,Low income,2018,,
Sri Lanka,South Asia,Lower middle income,2017,,cannot verify
Sudan,Sub-Saharan Africa,Lower middle income,2018,,
Suriname,Latin America & Caribbean,Upper middle income,2018,http://sr.china-embassy.org/eng/sbgxyw/t1619769.htm,
Tajikistan,Europe & Central Asia,Low income,2018,,
Tanzania,Sub-Saharan Africa,Low income,2018,,
Thailand,East Asia & Pacific,Upper middle income,2014,,
Timor-Leste,East Asia & Pacific,Lower middle income,2017,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/zwbd_665378/t1658139.shtml,
Togo,Sub-Saharan Africa,Low income,2018,,
Tonga,East Asia & Pacific,Upper middle income,2018,https://www.voanews.com/east-asia/tonga-latest-join-chinas-belt-and-road,
Trinidad and Tobago,Latin America & Caribbean,High income,2018,https://country.eiu.com/article.aspx?articleid=836780667&Country=Trinidad%20and%20Tobago&topic=Politics&subtopic=Forecast&subsubtopic=International+relations,
Tunisia,Middle East & North Africa,Lower middle income,2018,,
Turkey,Europe & Central Asia,Upper middle income,2015,,
Uganda,Sub-Saharan Africa,Low income,2018,,
Ukraine,Europe & Central Asia,Lower middle income,2017,,
United Arab Emirates,Middle East & North Africa,High income,2017,https://eng.yidaiyilu.gov.cn/wcm.files/upload/CMSydylyw/201706/201706090632038.pdf,
Uruguay,Latin America & Caribbean,High income,2018,https://schillerinstitute.com/blog/2018/08/22/uruguay-formally-joins-the-belt-and-road/,
Uzbekistan,Europe & Central Asia,Lower middle income,2015,,
Vanuatu,East Asia & Pacific,Lower middle income,2018,https://www.rnz.co.nz/international/pacific-news/376372/tonga-and-vanuatu-join-china-s-belt-and-road,
Venezuela,Latin America & Caribbean,Upper middle income,2018,https://www.chinadaily.com.cn/a/201809/15/WS5b9c1985a31033b4f46562d0.html,
Vietnam,East Asia & Pacific,Lower middle income,2017,,
Yemen,Middle East & North Africa,Low income,2017,,
Zambia,Sub-Saharan Africa,Lower middle income,2018,,
Zimbabwe,Sub-Saharan Africa,Low income,2018,,
